N;a;m;e
Апр_Урал_ДрВеб_0104;april_upsale_ural_drweb_0104
Распознавание речи;dbo.[A_TaskManager_LocalList_accf45e3-ce6a-4280-a56d-f0dcab0d78c8_0]
СДЭК автообзвон;CDEK_BASE_AUTO
Апр_Волга_ДрВеб_1304;april_upsale_volga_drweb_1304
Фев_МиМО_ХОЛОД_КВЕРТИ_0802;feb_ctm_mimo_cold_qwerty_0802
Март_Сибирь_Трансформер_0503;march_upsale_siberia_transformer_0503
Фев_ЮГ_ТВ1_Минимум_0802;feb_ctm_south_tv1_minimum_0802
Dec_Rostobl_TV_291116;Dec_Rostobl_TV_291116
Апр_Центр_ТВ2_МВНО_2604;april_ctm_center_tv2_mvno_2604
Фев_МиМО_ТВ2_Минимум_1002;feb_ctm_mimo_tv2_minimum_1002
РТК АВТО Основная 01_11_2021;dbo.[A_TaskManager_LocalList_e71bd738-2ca8-4f9e-ae88-f816ff389f46_0]
Test_cdek;Test_cdek
Май_Центр_ТВ1_МВНО2_1505;may_ctm_center_tv1_mvno2_1505
Интернет-Билайн пилот;dbo.[A_TaskManager_LocalList_78dc630d-18ff-4f66-98bd-f91076fdae0a_0]
Интернет-Bee_Mar_msk1_0403;Bee_Mar_msk1_0403
СИМ-Nov_beeline_sim_0511;Nov_beeline_sim_0511
РТК АВТО ТВ СЗФО;rtk_auto_tv_szfo
Март_Сибирь_Гарантия_0103;march_upsale_siberia_warranty_0103
Май_МиМО_MVNO_МО_0205;may_upsale_mimo_mvno_mo_0205
Фев_Волга_Трансформер_2102;feb_upsale_volga_transformer_2102
